gene_accession,gCSD17_BAL_10_50p_filtered,gCSD16_SAC_3_50p_filtered,gCSD16_NYC_4_50p_filtered,gCSD16_NYC_21_50p_filtered,gCSD17_DEN_2_50p_filtered,gCSD17_BAL_14_50p_filtered,gCSD16_DEN_14_50p_filtered,gCSD16_DEN_1_50p_filtered,gCSD16_SAC_5_50p_filtered,gCSD17_NYC_18_50p_filtered,gCSD17_DEN_6_50p_filtered,gCSD17_DEN_4_50p_filtered,gCSD17_DEN_3_50p_filtered,gCSD17_NYC_15_50p_filtered,gCSD16_NYC_9_50p_filtered,gCSD16_NYC_22_50p_filtered,gCSD16_SAC_14_50p_filtered,gCSD16_SAC_8_50p_filtered,gCSD16_DEN_18_50p_filtered,gCSD16_SAC_4_50p_filtered,gCSD16_NYC_20_50p_filtered,gCSD17_SAN_14_50p_filtered,gCSD17_MIN_1_50p_filtered,gCSD16_DEN_21_50p_filtered,gCSD17_SAN_3_50p_filtered,gCSD17_DEN_23_50p_filtered,gCSD16_NYC_19_50p_filtered,gCSD17_NYC_5_50p_filtered,gCSD17_NYC_14_50p_filtered,gCSD17_BAL_1_50p_filtered,gCSD16_SAC_11_50p_filtered,gCSD16_NYC_23_50p_filtered,gCSD17_MIN_3_50p_filtered,gCSD17_SAN_13_50p_filtered,gCSD16_SAC_2_50p_filtered,gCSD17_NYC_17_50p_filtered,gCSD16_NYC_7_50p_filtered,gCSD16_DEN_11_50p_filtered,gCSD16_NYC_8_50p_filtered,gCSD16_NYC_6_50p_filtered,gCSD16_NYC_1_50p_filtered,gCSD17_NYC_19_50p_filtered,gCSD17_DEN_8_50p_filtered,gCSD16_NYC_24_50p_filtered,gCSD17_BAL_5_50p_filtered,gCSD17_NYC_10_50p_filtered,gCSD16_SAC_6_50p_filtered,gCSD17_SAN_4_50p_filtered,gCSD17_NYC_9_50p_filtered,gCSD17_MIN_2_50p_filtered,gCSD16_NYC_17_50p_filtered,gCSD16_NYC_26_50p_filtered,gCSD16_SAC_12_50p_filtered,gCSD16_SAC_15_50p_filtered,gCSD17_SAN_10_50p_filtered,gCSD16_DEN_5_50p_filtered,gCSD17_DEN_22_50p_filtered,gCSD17_DEN_5_50p_filtered,gCSD17_BAL_13_50p_filtered,gCSD17_DEN_21_50p_filtered,gCSD16_DEN_15_50p_filtered,gCSD16_SAC_1_50p_filtered,gCSD17_BAL_8_50p_filtered,gCSD17_SAN_5_50p_filtered,gCSD17_SAN_2_50p_filtered,gCSD17_DEN_9_50p_filtered,gCSD16_SAC_9_50p_filtered,gCSD16_NYC_16_50p_filtered,gCSD16_NYC_25_50p_filtered,gCSD17_BAL_9_50p_filtered,gCSD17_MIN_5_50p_filtered,gCSD17_MIN_6_50p_filtered,gCSD17_BAL_4_50p_filtered,gCSD16_DEN_10_50p_filtered,gCSD17_NYC_16_50p_filtered,gCSD17_BAL_11_50p_filtered,gCSD16_DEN_22_50p_filtered,gCSD16_DEN_8_50p_filtered,gCSD17_NYC_12_50p_filtered,gCSD16_NYC_3_50p_filtered,gCSD17_BAL_7_50p_filtered,gCSD16_DEN_19_50p_filtered,gCSD17_DEN_19_50p_filtered,gCSD17_BAL_2_50p_filtered,gCSD17_DEN_12_50p_filtered,gCSD17_DEN_16_50p_filtered,gCSD17_DEN_11_50p_filtered,gCSD17_DEN_1_50p_filtered,gCSD16_SAC_13_50p_filtered,gCSD17_DEN_10_50p_filtered,gCSD16_DEN_6_50p_filtered,gCSD17_DEN_7_50p_filtered,gCSD16_NYC_12_50p_filtered,gCSD16_NYC_14_50p_filtered,gCSD17_DEN_18_50p_filtered,gCSD17_NYC_20_50p_filtered,gCSD16_NYC_11_50p_filtered,gCSD16_NYC_10_50p_filtered,gCSD17_DEN_15_50p_filtered,gCSD16_DEN_17_50p_filtered,gCSD16_NYC_5_50p_filtered,gCSD17_SAN_9_50p_filtered,gCSD17_NYC_8_50p_filtered,gCSD17_NYC_6_50p_filtered,gCSD17_NYC_11_50p_filtered,gCSD17_SAN_15_50p_filtered,gCSD17_NYC_13_50p_filtered,gCSD17_DEN_17_50p_filtered,gCSD17_NYC_1_50p_filtered,gCSD17_BAL_6_50p_filtered,gCSD17_BAL_3_50p_filtered,gCSD16_NYC_2_50p_filtered,gCSD17_NYC_7_50p_filtered,gCSD16_SAC_10_50p_filtered,gCSD16_DEN_4_50p_filtered,gCSD17_BAL_12_50p_filtered,gCSD16_DEN_9_50p_filtered,gCSD17_SAN_1_50p_filtered,gCSD16_DEN_12_50p_filtered,gCSD16_DEN_13_50p_filtered,gCSD17_MIN_4_50p_filtered,gCSD17_SAN_16_50p_filtered,gCSD17_NYC_3_50p_filtered,gCSD16_NYC_15_50p_filtered,gCSD16_SAC_16_50p_filtered,gCSD17_SAN_8_50p_filtered,gCSD16_DEN_7_50p_filtered,gCSD16_NYC_13_50p_filtered,gCSD17_NYC_2_50p_filtered,gCSD17_NYC_4_50p_filtered,gCSD16_DEN_16_50p_filtered,gCSD16_NYC_18_50p_filtered,gCSD17_SAN_7_50p_filtered,gCSD17_SAN_11_50p_filtered,gCSD17_DEN_14_50p_filtered,gCSD16_SAC_7_50p_filtered,gCSD16_DEN_2_50p_filtered
CUER,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,22.0,31.0,0.0,0.0,0.0,0.0
CZRA,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,661.0,0.0,0.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,776.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,646.0,0.0,0.0,0.0,1317.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.0,0.0,0.0,0.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,0.0,0.0,1366.0,0.0,0.0,926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,0.0
EMRB,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
FABG,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,0.0,0.0,21.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,1217.0,70.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,92.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0
FOLP,0.0,0.0,0.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,102.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,453.0,0.0,0.0,0.0,0.0,1063.0,0.0,57.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,1280.0,385.0,0.0,0.0,211.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,1041.0,0.0,0.0,0.0,0.0,0.0
FORMA,0.0,0.0,0.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOSA,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,223.0,0.0,19.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1186.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0
GLPT,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,2031.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0
GYRBA,0.0,0.0,0.0,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,1867.0,0.0,188.0,0.0,0.0,0.0,0.0,1711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,2332.0,1440.0,0.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,167.0,1501.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0
IBPA,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,982.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
KDEA,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,1479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KPN,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,2127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.0,95.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPSB,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,1282.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,998.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4179.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,736.0,0.0,0.0,0.0,0.0,0.0
LPXA,0.0,0.0,0.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.0,0.0,0.0,0.0,0.0,466.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,462.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,478.0,0.0,0.0,0.0,0.0,0.0
LPXC,0.0,0.0,0.0,3074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,0.0,0.0,0.0,0.0,1323.0,0.0,0.0,0.0,100.0,0.0,0.0,1763.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,1660.0,94.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4499.0,0.0,0.0,0.0,831.0,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,0.0,0.0
MCO,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,164.0,0.0,183.0,204.0,123.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0
MCR,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDTC,0.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERC,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,47.0,0.0,0.0,46.0,0.0,0.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,18.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,116.0,0.0,0.0,0.0,65.0,15.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
MERD,0.0,0.0,0.0,145.0,13.0,35.0,0.0,0.0,0.0,76.0,0.0,0.0,11.0,14.0,114.0,18.0,0.0,0.0,0.0,0.0,87.0,60.0,44.0,0.0,0.0,98.0,65.0,14.0,46.0,26.0,0.0,192.0,56.0,0.0,0.0,214.0,309.0,0.0,49.0,0.0,0.0,0.0,20.0,117.0,48.0,3.0,0.0,0.0,0.0,0.0,70.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,88.0,0.0,0.0,66.0,0.0,95.0,0.0,54.0,56.0,0.0,0.0,0.0,32.0,16.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,22.0,10.0,27.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,28.0,352.0,149.0,0.0,0.0,103.0,0.0,115.0,0.0,7.0,0.0,25.0,5.0,0.0,42.0,113.0,0.0,46.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,59.0,0.0,181.0,250.0,0.0,0.0,0.0,99.0,0.0,27.0,0.0,127.0,0.0,0.0,23.0,0.0,0.0
