"","city","QACEDELTA1","EMRD","GYRA","FOSA","PARE","NFSA","ARNT","ACRD","LPTD","TOLC","OMPR","PARC","SOXR","KPNE","GYRB","FLOR","EMRE","ACRB","KDEA","GALE","UHPT","EPTB","SUGE","ACRA","RPSL","EMRR","PATA","OMPK36","BACA","EMRA","RAMA","EMRB","QACL","FABI","BAER","ERMB","SILB","SILC","RPOS","KPNF","GLPT","QACE","PHOQ","AMPH","OMPA","CRP","SILA","PMRF"
"gCSD16_NYC_13","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392572214580468,0,0,0,0,0,0,0,0,0,0.0550206327372765,0.0118294360385144,0,0,0,0,0,0,0,0.00907840440165062,0,0,0.289408528198074,0.174690508940853,0.116918844566713,0,0.137276478679505,0,0,0,0.15818431911967,0.133700137551582,0.810453920220083,0
"gCSD16_NYC_14","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345082313212326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232165470662727,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_15","NYC",0,0,0,0,0,0,0,0,0,0,0,1.554201411161,0,0,0.672225785760103,0,0,0.120590121872996,0,0,0,0,0,0,0.0429762668377165,0.0384862091084028,0,0,0.0615779345734445,0,0.0282232200128287,0.0840282232200128,0,0,0,0,0.321359846055164,0.099422706863374,0.143040410519564,0,0.107119948685055,0,0,0.137908915971777,0.153303399615138,0.157793457344452,0.820397690827454,0
"gCSD16_NYC_16","NYC",0,0,0,0.00293793609988983,0,0,0,0,0,0,0.0366323907455013,0,0,0,0.0319500550863019,0,0.0155159750275432,0,0,0,0,0,0,0,0.0347961806830701,0.00376423062798384,0.0117517443995593,0,0,0,0,0,0,0.00697759823723834,0,0,0.00890561880279104,0,0.00615130370914433,0,0.0133125229526258,0.000734484024972457,0,0.0134961439588689,0,0.00394785163422696,0.0243297833272126,0
"gCSD16_NYC_17","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813008130081301,0,0,0,0,0.0350609756097561,0,0.00901930894308943,0,0,0,0,0,0,0.00749491869918699,0,0,0.00647865853658537,0,0,0,0,0,0,0,0.0176575203252033,0.00431910569105691,0.0214684959349594,0
"gCSD16_NYC_18","NYC",0,0,0,0.00572640509013786,0,0,0,0,0,0,0,0.107741251325557,0.0288441145281018,0,0.255991516436903,0,0.0307529162248144,0.0103923647932131,0,0,0,0,0,0,0.031389183457052,0.00678685047720042,0.0207847295864263,0,0.0193001060445387,0,0,0.00869565217391304,0,0.0328738069989396,0,0,0.0260869565217391,0.00890774125132556,0.00975609756097561,0,0.0171792152704136,0,0.095864262990456,0,0.0214209968186638,0.0345705196182397,0.0472958642629905,0
"gCSD16_NYC_19","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504799146818343,0,0.0216850337717739,0,0,0,0,0,0,0.0129754710273729,0,0,0,0,0,0,0,0,0,0,0,0.00391041592605759,0,0
"gCSD16_NYC_2","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169235418555455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_20","NYC",0,0,0,0,0,0,0,0,0,0,0,0.0577917697324039,0,0,0.158084101641556,0,0,0,0.0314818979087025,0,0,0,0,0,0.0456487519676186,0,0,0,0,0,0,0,0,0.00764560377782775,0,0,0,0,0.0119181470654374,0,0,0,0,0,0.0258601304250056,0.0353046997976164,0.0380031481897909,0
"gCSD16_NYC_21","NYC",0,0,0,0,0,0,0,0,0,0,0,0.124264574790515,0,0,0.198431092886433,0,0,0.0155107862364058,0.0308432875735425,0,0,0,0,0,0.0297735781779283,0.0121233731502942,0,0,0.0131930825459084,0,0,0.011410233553218,0,0.039044392939918,0,0,0.0360135496523444,0.00980566945979676,0.0228204671064361,0,0.028169014084507,0,0,0.0176502050276342,0.039222677839187,0.0538420395792476,0.0661436976288108,0
"gCSD16_NYC_22","NYC",0,0,0,0,0.00842437804396472,0,0,0,0.0193497433197315,0,0,0,0,0,0.0352770830591023,0,0,0.00776622350927998,0.0222456232723443,0,0,0,0,0,0.0342240358036067,0,0.0169803869948664,0,0,0,0.00329077267342372,0,0,0.00579175990522575,0,0.0113202579965776,0.0140845070422535,0,0.0053968671844149,0,0,0,0,0.0113202579965776,0.0223772541792813,0.00710806897459523,0.0339607739897328,0
"gCSD16_NYC_23","NYC",0,0,0,0.00281046899701388,0,0,0,0,0,0,0,0.101001229580186,0,0,0.176708238187247,0,0,0,0,0,0,0,0,0,0.0339012822764799,0.00930967855260847,0.0312664675917794,0,0,0,0,0,0,0.00755313542947479,0,0,0.0370630598981205,0.0096609871772352,0.0166871596697699,0,0,0,0,0,0,0.0479536272615493,0.0941507113999649,0
"gCSD16_NYC_24","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862010221465077,0,0,0,0,0,0,0,0,0,0.0459965928449744,0,0,0,0,0,0,0,0,0.0193072118114708,0,0,0.104486087450312,0,0.198182850653038,0,0,0,0,0,0.177739920499716,0.250425894378194,0.321408290743896,0
"gCSD16_NYC_25","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024705497382199,0,0,0,0,0,0,0,0,0,0.0505562827225131,0,0.0139070680628272,0,0,0,0,0,0,0.00719895287958115,0,0,0.018815445026178,0,0.00507198952879581,0,0,0,0,0,0.0230693717277487,0.00474476439790576,0.0283049738219895,0
"gCSD16_NYC_26","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859983429991715,0,0,0.0205468102734051,0,0,0,0,0,0,0.0576636288318144,0,0,0.0183927091963546,0.00845070422535211,0,0.00646230323115162,0.0170671085335543,0,0.00927920463960232,0,0,0.0382767191383596,0.0162386081193041,0.0263463131731566,0,0,0,0,0,0.0351284175642088,0.0223695111847556,0.102236951118476,0
"gCSD16_NYC_3","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255516840882695,0,0,0,0,0,0,0,0,0.0127758420441347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_4","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419063270336894,0,0,0,0,0,0,0,0,0,0.0236647493837305,0.00460147904683648,0,0,0,0,0,0,0,0.0047658175842235,0,0,0.0179129005751849,0,0.00690221857025472,0,0,0,0,0,0,0,0.0236647493837305,0
"gCSD16_NYC_5","NYC",0,0,0,0.00420231127119916,0.0190604832657962,0,0,0,0,0,0.0403722047125919,0,0.00870478763319826,0,0,0,0,0,0,0,0,0,0,0.00990544799639802,0.060183100705388,0.00435239381659913,0.0288158487167942,0,0,0,0,0,0,0.0142578418129971,0,0,0.0195107309019961,0,0.00630346690679874,0,0,0,0,0,0.0291160138075942,0.0115563559957977,0.0373705538045925,0
"gCSD16_NYC_6","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149567367119901,0,0,0,0,0,0,0,0,0.00791100123609394,0,0,0.00976514215080346,0,0.00197775030902349,0,0,0,0,0,0,0.00519159456118665,0,0
"gCSD16_NYC_7","NYC",0.00282558438222451,0.106601592602106,0.106344721294631,0.00565116876444901,0,0,0,0.192653480606216,0.448497302851272,0,0,0.147701001798099,0,0,0.816850757770357,0.0166966349858721,0,0.152838427947598,0.379912663755459,0,0,0,0,0,0.0524017467248908,0.245312098638582,0.0274852298998202,0.309786796814796,0.0768045209350116,0.106087849987156,0.156434626252248,0.235294117647059,0,0.0223478037503211,0,0,0.127408168507578,0.0508605188800411,0.562034420755202,0.0339070125866941,0.521705625481634,0,0,0.416131518109427,0.59825327510917,0.360904187002312,0.358335473927562,0.0441818648856923
"gCSD16_NYC_8","NYC",0,0,0,0.00209320259997797,0,0.00363556241048805,0,0,0,0,0,0,0,0,0.0309573647680952,0,0,0,0,0,0,0,0,0,0.0378979839153905,0,0.0124490470419742,0,0,0,0,0,0,0.00572876501046601,0,0,0.0107965186735706,0,0.00429657375784951,0,0.0134405640630164,0,0,0,0.0177371378208659,0.00539825933678528,0.0234659028313319,0
"gCSD16_NYC_9","NYC",0,0,0,0.00278389977960793,0,0,0,0,0,0,0.0385106136179098,0,0,0,0.0388586010903607,0,0,0,0,0,0,0,0,0.00440784131771256,0.0476742837257859,0,0.0117155782391834,0,0,0,0,0,0,0.00777172021807215,0,0,0,0,0.00452383714186289,0,0,0,0,0,0,0.00347987472450992,0,0
"gCSD16_SAC_1","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112781954887218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_10","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469196246430029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_11","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032996040475143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_12","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_13","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960654062340317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102197240674502,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_14","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041696364932288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_15","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036372453928225,0,0,0,0,0,0,0,0,0,0,0,0.0121241513094083,0,0,0,0,0,0,0,0,0,0.0426770126091174,0
"gCSD16_SAC_16","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145342886386899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_2","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278745644599303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_3","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118455497382199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_4","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407201028718388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_5","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118801089918256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_6","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707610146862483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_7","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032890132960112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_8","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107859078590786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_9","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579501915708812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622605363984674,0,0,0,0,0,0,0.010536398467433,0,0
"gCSD17_BAL_1","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125548726953468,0,0.0272168568920105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_10","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_11","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845637583892618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_12","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125267665952891,0,0.0546038543897216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_13","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_14","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_2","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105421686746988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_3","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116245487364621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_4","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_5","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_6","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_7","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182983682983683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_8","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209134615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_9","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177997527812114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_1","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152892561983471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_10","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235976789168279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_11","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894396551724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_12","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253537735849057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_14","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122345803842265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_15","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0959860383944154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_16","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662460567823344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_17","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874200426439232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_18","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_19","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_2","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04396482813749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_21","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551440329218107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_22","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988700564971751,0,0,0,0,0,0,0,0,0,0,0.0522598870056497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903954802259887,0
"gCSD17_DEN_23","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107652399481193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_3","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163677130044843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_4","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_5","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_6","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_7","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_8","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117901234567901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_9","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_MIN_1","MIN",0,0,0,0,0,0,0,0,0,0,0.12126339537507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998307952622673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
