"","city","QACEDELTA1","EMRD","GYRA","FOSA","PARE","NFSA","ARNT","ACRD","LPTD","TOLC","OMPR","PARC","SOXR","KPNE","GYRB","FLOR","EMRE","ACRB","KDEA","GALE","UHPT","EPTB","SUGE","ACRA","RPSL","EMRR","PATA","OMPK36","BACA","EMRA","RAMA","EMRB","QACL","FABI","BAER","ERMB","SILB","SILC","RPOS","KPNF","GLPT","QACE","PHOQ","AMPH","OMPA","CRP","SILA","PMRF"
"gCSD16_NYC_13","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09095206938777e-05,0,0,0,0,0,0,0,0,0,9.93826498863038e-06,2.13672697255553e-06,0,0,0,0,0,0,0,1.63981372312401e-06,0,0,5.22752738401958e-05,3.15539913389014e-05,2.11188131008396e-05,0,2.47959711466328e-05,0,0,0,2.85725118423123e-05,2.41499839223718e-05,0.000146390643282525,0
"gCSD16_NYC_14","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32090721846711e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88683755543619e-07,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_15","NYC",0,0,0,0,0,0,0,0,0,0,0,0.000152056474389592,0,0,6.5767719835036e-05,0,0,1.17980260772774e-05,0,0,0,0,0,0,4.20461567647654e-06,3.76532747147153e-06,0,0,6.02452395435444e-06,0,2.76124014574579e-06,8.2209649793795e-06,0,0,0,0,3.14404843867872e-05,9.72709596796811e-06,1.39944671023025e-05,0,1.04801614622624e-05,0,0,1.34924234394396e-05,1.49985544280282e-05,1.54378426330333e-05,8.02642306002014e-05,0
"gCSD16_NYC_16","NYC",0,0,0,1.06681164636941e-06,0,0,0,0,0,0,1.33018077156686e-05,0,0,0,1.16015766542673e-05,0,5.63409900738844e-06,0,0,0,0,0,0,0,1.26350504366877e-05,1.3668524219108e-06,4.26724658547763e-06,0,0,0,0,0,0,2.53367766012734e-06,0,0,3.23377280305727e-06,0,2.23363688458595e-06,0,4.83399027261138e-06,2.66702911592352e-07,0,4.90066600050947e-06,0,1.43352814980889e-06,8.83453394649666e-06,0
"gCSD16_NYC_17","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95192168256584e-06,0,0,0,0,1.27301622560652e-05,0,3.27478811659648e-06,0,0,0,0,0,0,2.72130280111538e-06,0,0,2.35231259079465e-06,0,0,0,0,0,0,0,6.41120490432268e-06,1.5682083938631e-06,7.79491819302542e-06,0
"gCSD16_NYC_18","NYC",0,0,0,1.09770590848743e-06,0,0,0,0,0,0,0,2.0653133389319e-05,5.52918531682557e-06,0,4.90715196868269e-05,0,5.89508728632138e-06,1.99213294503274e-06,0,0,0,0,0,0,6.01705460948665e-06,1.30098478042955e-06,3.98426589006548e-06,0,3.69967546934652e-06,0,0,1.66688674992536e-06,0,6.30164503020561e-06,0,0,5.00066024977607e-06,1.70754252431378e-06,1.87016562186747e-06,0,3.29311772546229e-06,0,1.83764100235673e-05,0,4.10623321323076e-06,6.626891225313e-06,9.0662376886184e-06,0
"gCSD16_NYC_19","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29731884849431e-05,0,5.57298941958823e-06,0,0,0,0,0,0,3.3346576035241e-06,0,0,0,0,0,0,0,0,0,0,0,1.00496530517165e-06,0,0
"gCSD16_NYC_2","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29371066462654e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_20","NYC",0,0,0,0,0,0,0,0,0,0,0,1.35775187565233e-05,0,0,3.71400610343808e-05,0,0,0,7.39631371950685e-06,0,0,0,0,0,1.07246548932849e-05,0,0,0,0,0,0,0,0,1.79624761759452e-06,0,0,0,0,2.80003305095616e-06,0,0,0,0,0,6.07554341245205e-06,8.29443752830411e-06,8.92840727569041e-06,0
"gCSD16_NYC_21","NYC",0,0,0,0,0,0,0,0,0,0,0,2.4451981798043e-05,0,0,3.90459910204044e-05,0,0,3.05211250563808e-06,6.06914325833778e-06,0,0,0,0,0,5.85865274070757e-06,2.38555919980907e-06,0,0,2.59604971743928e-06,0,0,2.2452321880556e-06,0,7.68290389350274e-06,0,0,7.08651409355048e-06,1.92949641161028e-06,4.49046437611119e-06,0,5.54291696426225e-06,0,0,3.4730935408985e-06,7.71798564644111e-06,1.05946893873873e-05,1.30153303401348e-05,0
"gCSD16_NYC_22","NYC",0,0,0,0,2.94795283330741e-06,0,0,0,6.77107916400295e-06,0,0,0,0,0,1.23445524894748e-05,0,0,2.71764401820527e-06,7.78443795045237e-06,0,0,0,0,0,1.19760583853113e-05,0,5.94196742963524e-06,0,0,0,1.15154407551071e-06,0,0,2.02671757289884e-06,0,3.96131161975683e-06,4.92860864318582e-06,0,1.88853228383756e-06,0,0,0,0,3.96131161975683e-06,7.8304997134728e-06,2.48733520310313e-06,1.18839348592705e-05,0
"gCSD16_NYC_23","NYC",0,0,0,5.16327801806024e-07,0,0,0,0,0,0,0,1.8555530377404e-05,0,0,3.24641105385538e-05,0,0,0,0,0,0,0,0,0,6.22820410928517e-06,1.71033584348246e-06,5.74414679509202e-06,0,0,0,0,0,0,1.38763096735369e-06,0,0,6.80907288631695e-06,1.77487681870821e-06,3.06569632322327e-06,0,0,0,0,0,0,8.80984311831529e-06,1.72969813605018e-05,0
"gCSD16_NYC_24","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32234697640856e-05,0,0,0,0,0,0,0,0,0,4.44077803088994e-06,0,0,0,0,0,0,0,0,1.86403028457109e-06,0,0,1.00876933047376e-05,0,1.91337226269209e-05,0,0,0,0,0,1.71600435020809e-05,2.41775692792897e-05,3.10306217960952e-05,0
"gCSD16_NYC_25","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.968566485497e-06,0,0,0,0,0,0,0,0,0,1.63065367153548e-05,0,4.48561689580957e-06,0,0,0,0,0,0,2.32196639312495e-06,0,0,6.06877580021295e-06,0,1.63593086788349e-06,0,0,0,0,0,7.44084685069587e-06,1.53038694092326e-06,9.12954968205947e-06,0
"gCSD16_NYC_26","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77883984667872e-05,0,0,6.63923200362545e-06,0,0,0,0,0,0,1.86326833650134e-05,0,0,5.94318348711633e-06,2.73065187245885e-06,0,2.08814554952736e-06,5.51484593849533e-06,0,2.99836284034698e-06,0,0,1.23682467164313e-05,5.24713497060721e-06,8.51320877884231e-06,0,0,0,0,0,1.13509450384564e-05,7.22819613297932e-06,3.30355334373944e-05,0
"gCSD16_NYC_3","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4705647349458e-06,0,0,0,0,0,0,0,0,2.2352823674729e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_NYC_4","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48246488215102e-05,0,0,0,0,0,0,0,0,0,8.3715663933234e-06,1.62780457647955e-06,0,0,0,0,0,0,0,1.68594045421096e-06,0,0,6.33681067272396e-06,0,2.44170686471932e-06,0,0,0,0,0,0,0,8.3715663933234e-06,0
"gCSD16_NYC_5","NYC",0,0,0,8.08983811453841e-07,3.66931943052278e-06,0,0,0,0,0,7.77202304575297e-06,0,1.67575218086867e-06,0,0,0,0,0,0,0,0,0,0,1.90689041271263e-06,1.15858038711782e-05,8.37876090434336e-07,5.54731756425491e-06,0,0,0,0,0,0,2.74476650314696e-06,0,0,3.75599626746426e-06,0,1.21347571718076e-06,0,0,0,0,0,5.6051021222159e-06,2.22470548149806e-06,7.19417746614309e-06,0
"gCSD16_NYC_6","NYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20556863966237e-06,0,0,0,0,0,0,0,0,1.69550737965613e-06,0,0,2.09289192176304e-06,0,4.23876844914033e-07,0,0,0,0,0,0,1.11267671789934e-06,0,0
"gCSD16_NYC_7","NYC",3.49772703388455e-07,1.31959701732917e-05,1.31641726548018e-05,6.9954540677691e-07,0,0,0,2.38481388673947e-05,5.55184672832947e-05,0,0,1.82835731316692e-05,0,0,0.000101116108797753,2.06683870184087e-06,0,1.89195235014664e-05,4.70285298465022e-05,0,0,0,0,0,6.48669377193134e-06,3.03666301578159e-05,3.40233447841497e-06,3.83478072987706e-05,9.507458028468e-06,1.3132375136312e-05,1.93646887603245e-05,2.91265269367113e-05,0,2.76638410861778e-06,0,0,1.57715691709703e-05,6.29590866099219e-06,6.95729704558127e-05,4.19727244066146e-06,6.45807600529047e-05,0,0,5.15119799535724e-05,7.40564205628829e-05,4.46755134782526e-05,4.4357538293354e-05,5.46917318025584e-06
"gCSD16_NYC_8","NYC",0,0,0,5.22186021294581e-07,0,9.06954668564272e-07,0,0,0,0,0,0,0,0,7.7228564201988e-06,0,0,0,0,0,0,0,0,0,9.45431533291241e-06,0,3.10563265296251e-06,0,0,0,0,0,0,1.42914068985885e-06,0,0,2.69338053088784e-06,0,1.07185551739414e-06,0,3.35298392620731e-06,0,0,0,4.42483944360145e-06,1.34669026544392e-06,5.8539801334603e-06,0
"gCSD16_NYC_9","NYC",0,0,0,7.94970829042285e-07,0,0,0,0,0,0,1.09970964684183e-05,0,0,0,1.10964678220486e-05,0,0,0,0,0,0,0,0,1.25870381265028e-06,1.36138754473491e-05,0,3.34550223888628e-06,0,0,0,0,0,0,2.21929356440971e-06,0,0,0,0,1.29182759719371e-06,0,0,0,0,0,0,9.93713536302856e-07,0,0
"gCSD16_SAC_1","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70961139909513e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_10","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0807733223247e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_11","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06437207581695e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_12","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65606654654002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_13","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10850204234074e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37074685355397e-06,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_14","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39573240201454e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_15","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21756369582122e-05,0,0,0,0,0,0,0,0,0,0,0,7.39187898607074e-06,0,0,0,0,0,0,0,0,0,2.6019414030969e-05,0
"gCSD16_SAC_16","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27945414905609e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_2","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68718657120003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_3","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77186981172535e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_4","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1117770247996e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_5","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4265918775694e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_6","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1199760291653e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_7","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07830707296538e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_8","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82556667672195e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD16_SAC_9","SAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35826870978924e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6080572915091e-06,0,0,0,0,0,0,6.10594310870771e-06,0,0
"gCSD17_BAL_1","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99860747795523e-05,0,8.6683099172456e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_10","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_11","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4663113055669e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_12","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8491797649792e-05,0,1.24195015396529e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_13","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_14","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10834046689247e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_2","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57781819360249e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_3","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8940028244823e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_4","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_5","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_6","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_7","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79462806207242e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_8","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62665918246932e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_BAL_9","BAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49406362283321e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_1","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59368443954063e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_10","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36422871540422e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_11","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02374000207654e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_12","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4670035088677e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_14","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5139675831152e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_15","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25009415424277e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_16","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97159494840179e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_17","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20328522622132e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_18","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_19","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_2","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27470777242831e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_21","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09791205351343e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_22","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,5.47766404234391e-06,0,0,0,0,0,0,0,0,0,0,2.89533670809607e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00814998157157e-05,0
"gCSD17_DEN_23","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77454935064108e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_3","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04039285902073e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gCSD17_DEN_4","DEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
